timestamp,event,class
1949-01-01 12:34:56,true,162
1949-02-01 12:34:56,false,118
1949-03-01 12:34:56,true,182
1949-04-01 12:34:56,true,229
1949-05-01 12:34:56,true,271
1949-06-01 12:34:56,true,335
1949-07-01 12:34:56,false,148
1949-08-01 12:34:56,false,198
1949-09-01 12:34:56,false,236
1949-10-01 12:34:56,true,319
1949-11-01 12:34:56,true,354
1949-12-01 12:34:56,true,418
1950-01-01 12:34:56,true,165
1950-02-01 12:34:56,false,126
1950-03-01 12:34:56,true,191
1950-04-01 12:34:56,true,235
1950-05-01 12:34:56,true,275
1950-06-01 12:34:56,true,349
1950-07-01 12:34:56,false,170
1950-08-01 12:34:56,false,220
1950-09-01 12:34:56,false,258
1950-10-01 12:34:56,true,333
1950-11-01 12:34:56,true,364
1950-12-01 12:34:56,true,440
1951-01-01 12:34:56,true,195
1951-02-01 12:34:56,false,150
1951-03-01 12:34:56,true,228
1951-04-01 12:34:56,true,263
1951-05-01 12:34:56,true,322
1951-06-01 12:34:56,true,378
1951-07-01 12:34:56,false,199
1951-08-01 12:34:56,false,249
1951-09-01 12:34:56,false,284
1951-10-01 12:34:56,true,362
1951-11-01 12:34:56,true,396
1951-12-01 12:34:56,true,466
1952-01-01 12:34:56,true,221
1952-02-01 12:34:56,false,180
1952-03-01 12:34:56,true,243
1952-04-01 12:34:56,true,281
1952-05-01 12:34:56,true,333
1952-06-01 12:34:56,true,418
1952-07-01 12:34:56,false,230
1952-08-01 12:34:56,false,292
1952-09-01 12:34:56,false,309
1952-10-01 12:34:56,true,391
1952-11-01 12:34:56,true,422
1952-12-01 12:34:56,true,494
1953-01-01 12:34:56,true,246
1953-02-01 12:34:56,false,196
1953-03-01 12:34:56,true,286
1953-04-01 12:34:56,true,335
1953-05-01 12:34:56,true,379
1953-06-01 12:34:56,true,443
1953-07-01 12:34:56,false,264
1953-08-01 12:34:56,false,322
1953-09-01 12:34:56,false,337
1953-10-01 12:34:56,true,411
1953-11-01 12:34:56,true,430
1953-12-01 12:34:56,true,501
1954-01-01 12:34:56,true,254
1954-02-01 12:34:56,false,188
1954-03-01 12:34:56,true,285
1954-04-01 12:34:56,true,327
1954-05-01 12:34:56,true,384
1954-06-01 12:34:56,true,464
1954-07-01 12:34:56,false,302
1954-08-01 12:34:56,false,343
1954-09-01 12:34:56,false,359
1954-10-01 12:34:56,true,429
1954-11-01 12:34:56,true,453
1954-12-01 12:34:56,true,529
1955-01-01 12:34:56,true,292
1955-02-01 12:34:56,false,233
1955-03-01 12:34:56,true,317
1955-04-01 12:34:56,true,369
1955-05-01 12:34:56,true,420
1955-06-01 12:34:56,true,515
1955-07-01 12:34:56,false,364
1955-08-01 12:34:56,false,397
1955-09-01 12:34:56,false,412
1955-10-01 12:34:56,true,474
1955-11-01 12:34:56,true,487
1955-12-01 12:34:56,true,578
1956-01-01 12:34:56,true,334
1956-02-01 12:34:56,false,277
1956-03-01 12:34:56,true,367
1956-04-01 12:34:56,true,413
1956-05-01 12:34:56,true,468
1956-06-01 12:34:56,true,574
1956-07-01 12:34:56,false,413
1956-08-01 12:34:56,false,455
1956-09-01 12:34:56,false,455
1956-10-01 12:34:56,true,506
1956-11-01 12:34:56,true,521
1956-12-01 12:34:56,true,606
1957-01-01 12:34:56,true,365
1957-02-01 12:34:56,false,301
1957-03-01 12:34:56,true,406
1957-04-01 12:34:56,true,448
1957-05-01 12:34:56,true,505
1957-06-01 12:34:56,true,622
1957-07-01 12:34:56,false,465
1957-08-01 12:34:56,false,517
1957-09-01 12:34:56,false,504
1957-10-01 12:34:56,true,547
1957-11-01 12:34:56,true,555
1957-12-01 12:34:56,true,636
1958-01-01 12:34:56,true,390
1958-02-01 12:34:56,false,318
1958-03-01 12:34:56,true,412
1958-04-01 12:34:56,true,448
1958-05-01 12:34:56,true,513
1958-06-01 12:34:56,true,635
1958-07-01 12:34:56,false,491
1958-08-01 12:34:56,false,555
1958-09-01 12:34:56,false,504
1958-10-01 12:34:56,true,559
1958-11-01 12:34:56,true,560
1958-12-01 12:34:56,true,637
1959-01-01 12:34:56,true,410
1959-02-01 12:34:56,false,342
1959-03-01 12:34:56,true,456
1959-04-01 12:34:56,true,496
1959-05-01 12:34:56,true,570
1959-06-01 12:34:56,true,672
1959-07-01 12:34:56,false,548
1959-08-01 12:34:56,false,609
1959-09-01 12:34:56,false,563
1959-10-01 12:34:56,true,607
1959-11-01 12:34:56,true,612
1959-12-01 12:34:56,true,705
1960-01-01 12:34:56,true,?
1960-02-01 12:34:56,false,?
1960-03-01 12:34:56,true,?
1960-04-01 12:34:56,true,?
1960-05-01 12:34:56,true,?
1960-06-01 12:34:56,true,?
1960-07-01 12:34:56,false,?
1960-08-01 12:34:56,false,?
1960-09-01 12:34:56,false,?
1960-10-01 12:34:56,true,?
1960-11-01 12:34:56,true,?
1960-12-01 12:34:56,true,?
